230,maydi,ⵎⴰⵢⴷⵉ,في ماذا
231,wikid,ⵡⵉⴽⵉⴷ,برفقة من
232,tous tlata,ⵜⵓⵙ ⵜⵍⴰⵜⴰ,ثالثة
233,jar,ⵊⴰⵔ,مابين
234,mamkh,ⵎⴰⵎⵅ,كم
235,zikh ntta,ⵣⵉⵅ ⵏⵜⵜⴰ,إذا هو
236,oult,ⵓⵍⵜ,عزباء
237,moumi,ⵎⵓⵎⵉ,لمن
238,ab9i,ⴰⴱⵇⵉ,صينية كبيرة
239,amdoul,ⴰⵎⴷⵓⵍ,نعل
240,insli,ⵉⵏⵙⵍⵉ,نواة الشجرة
241,tamemmoult,ⵜⴰⵎⴻⵎⵎⵓⵍⵜ,قطيع الجمال
242,tallst,ⵜⴰⵍⵍⵙⵜ,ظلام
243,tawwort,ⵜⴰⵡⵡⵓⵔⵜ,باب
244,tarya,ⵜⴰⵔⵢⴰ,قناة السقي
245,aghilas,ⴰⵖⵉⵍⴰⵙ,فهد
246,adfl,ⴰⴷⴼⵍ,ثلج
247,tabitast,ⵜⴰⴱⵉⵜⴰⵙⵜ,سبانخ
248,tasllouft,ⵜⴰⵙⵍⵍⵓⴼⵜ,حشرة
249,matcha,ⵎⴰⵜⵛⴰ,اكل
250,tighira,ⵜⵉⵖⵉⵔⴰ,قراءة
251,aghyoul,ⴰⵖⵢⵓⵍ,حمار
252,ayouch,ⴰⵢⵓⵛ,ايوش (المعطي)
253,ourt,ⵓⵔⵜ,راة
254,aza9ouf,ⴰⵣⴰⵇⵓⴼ,مفسد
255,lid,ⵍⵉⴷ,لا (لا خبز ولا ماء)
256,asari,ⴰⵙⴰⵔⵉ,تنزه
257,9arghass,ⵇⴰⵔⵖⴰⵙⵙ,اقول لها
258,adkhs,ⴰⴷⵅⵙ,لبى (أول الحليب)
259,ajenjar,ⴰⵊⴻⵏⵊⴰⵔ,بَنَفْسَجِيّ
260,a9as,ⴰⵇⴰⵙ,حب
261,tisounat,ⵜⵉⵙⵓⵏⴰⵜ,حفاظة
262,idjn,ⵉⴷⵊⵏ,واحد
263,tighmest/tighmas,ⵜⵉⵖⵎⴻⵙⵜ/ⵜⵉⵖⵎⴰⵙ,سن/أسنان
264,frymal,ⴼⵔⵢⵎⴰⵍ,عام القادم بعده
265,mouka,ⵎⵓⴽⴰ,بومة
266,tinuwḍin,ⵜⵉⵏⵡⴹⵉⵏ,اخوات الزوج
267,ikhlijn,ⵉⵅⵍⵉⵊⵏ,ادغال
268,arzzou,ⴰⵔⵣⵣⵓ,بحث
269,tarzzout,ⵜⴰⵔⵣⵣⵓⵜ,بحث
270,anghal,ⴰⵏⵖⴰⵍ,تخيل
271,anoudm,ⴰⵏⵓⴷⵎ,نعاس
272,amoulgh,ⴰⵎⵓⵍⵖ,زحف
273,amoroḍ,ⴰⵎⵓⵔⵓⴹ,حبو
274,almouzi,ⴰⵍⵎⵓⵣⵉ,تجمد
275,ajan,ⴰⵊⴰⵏ,ربوض
276,aghilaf,ⴰⵖⵉⵍⴰⴼ,ظلم
277,tghawlt,ⵜⵖⴰⵡⵍⵜ,سرعة
278,tissinft,ⵜⵉⵙⵙⵉⵏⴼⵜ,إبرة
279,inghlan,ⵉⵏⵖⵍⴰⵏ,دلع
280,ahnouni,ⴰⵀⵏⵓⵏⵉ,سقوط
281,ads,ⴰⴷⵙ,قرب
282,amhyar,ⴰⵎⵀⵢⴰⵔ,انيق
283,amzwar,ⴰⵎⵣⵡⴰⵔ,أول
284,tisart,ⵜⵉⵙⴰⵔⵜ,منحدر
285,azlmaḍ,ⴰⵣⵍⵎⴰⴹ,يسار
286,a9ran,ⴰⵇⵔⴰⵏ,انسان مرضي
287,azirar,ⴰⵣⵉⵔⴰⵔ,طويل
288,awessar,ⴰⵡⵙⵙⴰⵔ,مسن
289,azdad,ⴰⵣⴷⴰⴷ,رقيق
290,amzdagh,ⴰⵎⵣⴷⴰⵖ,ساكن
291,amdnwi,ⴰⵎⴷⵏⵡⵉ,صياد السمك
292,amrżag,ⴰⵎⵔⵥⴰⴳ,مُرٌّ
293,abssal,ⴰⴱⵙⵙⴰⵍ,بغيض
294,tażmmiṭ,ⵜⴰⵥⵎⵎⵉⵟ,طحين الشعير
295,tziwrin,ⵜⵣⵉⵡⵔⵉⵏ,زبيب
296,taghest,ⵜⴰⵖⴻⵙⵜ,ذكاء
297,mighis,ⵎⵉⵖⵉⵙ,ذكي
298,tamirout,ⵜⴰⵎⵉⵔⵓⵜ,عرض
299,achlghm,ⴰⵛⵍⵖⵎ,شارب
300,tyaghit,ⵜⵢⴰⵖⵉⵜ,نقل
301,ighrṣn,ⵉⵖⵔⵚⵏ,خيط من الصوف
302,ilidin,ⵉⵍⵉⴷⵉⵏ,مني
303,ifyafn,ⵉⴼⵢⴰⴼⵏ,براري
304,arzaf,ⴰⵔⵣⴰⴼ,زيارة
305,asliwliw,ⴰⵙⵍⵉⵡⵍⵉⵡ,زغرتة
306,irchal,ⵉⵔⵛⴰⵍ,صوت
307,azzghart,ⴰⵣⵣⵖⴰⵔⵜ,سنة الماضية
308,afad,ⴰⴼⴰⴷ,عطش
309,a9chchoḍ,ⴰⵇⵛⵛⵓⴹ,خشب
310,tzyat,ⵜⵣⵢⴰⵜ,قنينة
311,ingh,ⵉⵏⵖ,حلق
312,ifkr,ⵉⴼⴽⵔ,سلحقاة
313,ta9ttount,ⵜⴰⵇⵜⵜⵓⵏⵜ,مزمار
314,abdour,ⴰⴱⴷⵓⵔ,حاجز
315,afdiḍ,ⴰⴼⴷⵉⴹ,بق (حشرة)
316,aghriw,ⴰⵖⵔⵉⵡ,تناء المزهرية
317,akernennay,ⴰⴽⴻⵔⵏⴻⵏⵏⴰⵢ,حصاة
318,amjiz,ⴰⵎⵊⵉⵣ,لعبة
319,amsdou,ⴰⵎⵙⴷⵓ,اداة تلميع السكين
320,anchiw,ⴰⵏⵛⵉⵡ,ضرط
321,anfḍ,ⴰⵏⴼⴹ,ولاعة
322,ta9rant,ⵜⴰⵇⵔⴰⵏⵜ,خيانة
323,tarbat,ⵜⴰⵔⴱⴰⵜ,بنت
324,arrouy,ⴰⵔⵔⵓⵢ,حيوان الدربان
325,arzezzi,ⴰⵔⵣⴻⵣⵣⵉ,دبور
326,tawtemt,ⵜⴰⵡⵜⵎⵜ,انثى
327,ichmir,ⵉⵛⵎⵉⵔ,انف العجل
328,aznżar,ⴰⵣⵏⵥⴰⵔ,صرصور
329,azloul,ⴰⵣⵍⵓⵍ,بظر
330,ighed,ⵉⵖⴷ,جمرة
331,ighden,ⵉⵖⴷⴻⵏ,رماد
332,ilm,ⵉⵍⵎ,جلد
333,ilmsi,ⵉⵍⵎⵙⵉ,مذخنة
334,isrs,ⵉⵙⵔⵙ,حقيبة اكل الحيوان
335,izin,ⵉⵣⵉⵏ,سقف مائل
336,amadoun,ⴰⵎⴰⴷⵓⵏ,غطاء
337,timiṭ/timiṭṭin,ⵜⴰⵎⵉⵟ/ⵜⵉⵎⵉⵟⵟⵉⵏ,سرة
338,takhbayt,ⵜⴰⵅⴱⴰⵢⵜ,جرة كبيرة
339,tidinit,ⵜⵉⴷⵉⵏⵉⵜ,قطعة كبيرة من اللحم
340,tafa,ⵜⴰⴼⴰ,حجر لدرس القمح
341,tasliwgha,ⵜⴰⵙⵍⵉⵡⵖⴰ,خروب
342,taghma,ⵜⴰⵖⵎⴰ,حقيبة
343,taghrit,ⵜⴰⵖⵔⵉⵜ,عصى
344,ḍar,ⴹⴰⵔ,كاحل
345,talount,ⵜⴰⵍⵓⵏⵜ,غربال من جلد
346,tamdwast,ⵜⴰⵎⴷⵡⴰⵙⵜ,مكنسة (شطابة)
347,tamnghiwt,ⵜⴰⵎⵏⵖⵉⵡⵜ,قتل
348,ṭamża,ⵟⴰⵎⵥⴰ,غولة
349,a9ṭṭon,ⴰⵇⵟⵟⵓⵏ,حذاء (ليبوط)
350,asdi,ⴰⵙⴷⵉ,سلسلة عنق
351,tachwat,ⵜⴰⵛⵡⴰⵜ,مقبض الباب
352,tourta,ⵜⵓⵔⵜⴰ,ابن عرس
353,ouns,ⵓⵏⵙ,قرط الاذن
354,achwaḍ,ⴰⵛⵡⴰⴹ,راس السنبلة
355,azaylou,ⴰⵣⴰⵢⵍⵓ,سكة المحراث
356,tazra,ⵜⴰⵣⵔⴰ,حبل مصنوع من سعف النبات
357,ibra,ⵉⴱⵔⴰ,روث البقر (سماد)
358,tiddi,ⵜⵉⴷⴷⵉ,حجم أو القد
359,tidi,ⵜⵉⴷⵉ,عرق
360,ilmi,ⵉⵍⵎⵉ,خلية النحل
361,irja,ⵉⵔⵊⴰ,جمرة
362,tisoubla,ⵜⵉⵙⵓⴱⵍⴰ,إبرة غليضة (مخيط)
363,tichit,ⵜⵉⵛⵉⵜ,قملة
364,tizlt,ⵜⵉⵣⵍⵜ,كلوة
365,tizt,ⵜⵉⵣⵜ,عظمة الترقوة
366,tawyalt,ⵜⴰⵡⵢⴰⵍⵜ,ناب
367,achfay,ⴰⵛⴼⴰⵢ,طري
368,aldoun,ⴰⵍⴷⵓⵏ,رصاص
369,anghda,ⴰⵏⵖⴷⴰ,بقاء
370,askkoum,ⴰⵙⴽⴽⵓⵎ,نبات الهليون
371,tadgha,ⵜⴰⴷⵖⴰ,نمس
372,ami,ⴰⵎⵉ,عندما
373,il99ou,ⵉⵍⵇⵇⵓ,الان
374,akras,ⴰⴽⵔⴰⵙ,إبهام
375,Aç-Inigh,ⴰⴿ-ⵉⵏⵉⵖ,اقول لك
376,inslan,ⵉⵏⵙⵍⴰⵏ,مكنسة
377,asifaf,ⴰⵙⵉⴼⴰⴼ,غربلة
378,samr,ⵙⴰⵎⵔ,واجهة الجبل فيها شمس
379,tamrniwt,ⵜⴰⵎⵔⵏⵉⵡⵜ,زيادة
380,asḍn,ⴰⵙⴹⵏ,انجاب
381,aḍan,ⴰⴹⴰⵏ,مرض
382,afawi,ⴰⴼⴰⵡⵉ,شروق
383,arwas,ⴰⵔⵡⴰⵙ,شبه
384,arwas,ⴰⵔⵡⴰⵙ,جحيم
385,infr,ⵉⵏⴼⵔ,شبل
386,adouri,ⴰⴷⵓⵔⵉ,اختفاء
387,amghrad,ⴰⵎⵖⵔⴰⴷ,كون
388,aseçlu,ⴰⵙⴿⵍⵓ,شجرة
389,asiwan,ⴰⵙⵉⵡⴰⵏ,صقر
390,al9agh,ⴰⵍⵇⴰⵖ,املس
391,bouch,ⴱⵓⵛ,قبعة
392,aslila,ⴰⵙⵍⵉⵍⴰ,ماء متسخ من الغسيل
393,isanit,ⵉⵙⴰⵏⵉⵜ,ناعورة
394,azwr,ⴰⵣⵡⵔ,جذر
395,abroun,ⴰⴱⵔⵓⵏ,حفرة
396,tziwa,ⵜⵥⵉⵡⴰ,صحن كبير للعجينة
397,tifiḍli,ⵜⵉⴼⵉⴹⵍⵉ,شعر
398,imrzi,ⵉⵎⵔⵣⵉ,ظهر
399,amlzi,ⴰⵎⵍⵣⵉ,عرعار
400,toukhist,ⵜⵓⵅⵉⵙⵜ,سيئة
401,asesten,ⴰⵙⴻⵙⵜⴻⵏ,سؤال
402,ti99t,ⵜⵉⵇⵇⵜ,كي
403,oudi,ⵓⴷⵉ,زيت
404,oudi,ⵓⴷⵉ,زبدة
405,inis/tinisan,ⵉⵏⵉⵙ/ⵜⵉⵏⵉⵙⴰⵏ,مفتاح
406,zik,ⵣⵉⴽ,باكرا
407,archroch,ⴰⵔⵛⵔⵓⵛ,حطب
408,tifkhsa,ⵜⵉⴼⵅⵙⴰ,معانات
409,ighid,ⵉⵖⵉⴷ,جدي
410,Amouzzer,ⴰⵎⵓⵣⵣⵔ,سعار
411,iln,ⵉⵍⵏ,قمار
412,tamazight,ⵜⴰⵎⴰⵣⵉⵖⵜ,أمازيغية - لغة
413,yat/at,ⵢⴰⵜ/ⴰⵜ,قرابة
414,tfala,ⵜⴼⴰⵍⴰ,حربة
415,amttoun,ⴰⵎⵜⵜⵓⵏ,خميرة
416,tayetcha,ⵜⴰⵢⵜⵛⴰ,دودة
417,isli,ⵉⵙⵍⵉ,صخرة الواد
418,amṭṭa,ⴰⵎⵟⵟⴰ,دمع
419,aghzmir,ⴰⵖⵣⵎⵉⵔ,فك السفلي
420,amkli,ⴰⵎⴽⵍⵉ,غذاء
421,alli,ⴰⵍⵍⵉ,مخ
422,amnsi,ⴰⵎⵏⵙⵉ,عشاء
423,tinyert,ⵜⵉⵏⵢⵔⵜ,جبهة
424,oufough,ⵓⴼⵓⵖ,خروج
425,itchi,ⵉⵜⵛⵉ,طبخ
426,tadart,ⵜⴰⴷⴰⵔⵜ,مياه ضحلة
427,adini,ⴰⴷⵉⵏⵉ,مؤخرة
428,isdmar,ⵉⵙⴷⵎⴰⵔ,اتصال
429,inzr,ⵉⵏⵣⵔ,أنف
430,dghya,ⴷⵖⵢⴰ,بسرعة أو فورا
431,aḍo,ⴰⴹⵓ,ريح
432,anou,ⴰⵏⵓ,بئر
433,iḍo,ⵉⴹⵓ,اليوم
434,anwal,ⴰⵏⵡⴰⵍ,مسكن بالقصب والتراب
435,anwal,ⴰⵏⵡⴰⵍ,مطبخ
436,ouḍouḍ,ⵓⴹⵓⴹ,رضاعة
437,anka3,ⴰⵏⴽⴰⵄ,رضاعة
438,ahddouz,ⴰⵀⴷⴷⵓⵣ,مهراس
439,awal,ⴰⵡⴰⵍ,كلام
440,akhidous,ⴰⵅⵉⴷⵓⵙ,برنوس
441,ouwartiw,ⵓⵡⴰⵔⵜⵉⵡ,سنجاب
442,awrir,ⴰⵡⵔⵉⵔ,تل
